Anchor,Positive,Negative
coco/coco2017/train2017/img156724.jpg,coco/coco2017/train2017/img042666.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/488/img021642.jpg
coco/coco2017/train2017/img133478.jpg,coco/coco2017/train2017/img072658.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img037795.jpg
coco/coco2017/train2017/img045238.jpg,coco/coco2017/test2017/img004489.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/656/img030995.jpg
coco/coco2017/train2017/img148434.jpg,coco/coco2017/train2017/img060933.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/447/img019369.jpg
coco/coco2017/train2017/img057797.jpg,coco/coco2017/test2017/img032675.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/200/img005724.jpg
coco/coco2017/train2017/img069223.jpg,coco/coco2017/train2017/img120235.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img032420.jpg
coco/coco2017/train2017/img054488.jpg,coco/coco2017/train2017/img108241.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img028464.jpg
coco/coco2017/train2017/img061524.jpg,coco/coco2017/train2017/img100562.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/302/img011370.jpg
coco/coco2017/train2017/img064037.jpg,coco/coco2017/train2017/img127078.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img037327.jpg
coco/coco2017/train2017/img157903.jpg,coco/coco2017/train2017/img042068.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/124/img001478.jpg
coco/coco2017/train2017/img102807.jpg,coco/coco2017/train2017/img059754.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/581/img026823.jpg
coco/coco2017/train2017/img081733.jpg,coco/coco2017/train2017/img137565.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/431/img018513.jpg
coco/coco2017/train2017/img050850.jpg,coco/coco2017/test2017/img035328.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/296/img010998.jpg
