Anchor,Positive,Negative
coco/coco2017/train2017/img116473.jpg,coco/coco2017/train2017/img088364.jpg,latentdiff-t2i/images/img004601.jpg
coco/coco2017/train2017/img095298.jpg,coco/coco2017/test2017/img016006.jpg,latentdiff/474/img004178.jpg
coco/coco2017/train2017/img126958.jpg,coco/coco2017/train2017/img141368.jpg,latentdiff/737/img007092.jpg
latentdiff-t2i/images/img001729.jpg,latentdiff-t2i/images/img001613.jpg,coco/coco2017/test2017/img034763.jpg
latentdiff/641/img006039.jpg,latentdiff/333/img002616.jpg,coco/coco2017/train2017/img157973.jpg
coco/coco2017/train2017/img085149.jpg,coco/coco2017/val2017/img162167.jpg,latentdiff-t2i/images/img002778.jpg
coco/coco2017/train2017/img083420.jpg,coco/coco2017/train2017/img063960.jpg,latentdiff-t2i/images/img008407.jpg
latentdiff-t2i/images/img005328.jpg,latentdiff/704/img006738.jpg,coco/coco2017/train2017/img118175.jpg
coco/coco2017/train2017/img086725.jpg,coco/coco2017/train2017/img145838.jpg,latentdiff/873/img008604.jpg
latentdiff-t2i/images/img006850.jpg,latentdiff/625/img005857.jpg,coco/coco2017/train2017/img050665.jpg
latentdiff/455/img003963.jpg,latentdiff/554/img005062.jpg,coco/coco2017/train2017/img058960.jpg
latentdiff-t2i/images/img001905.jpg,latentdiff/613/img005723.jpg,coco/coco2017/test2017/img031649.jpg
latentdiff/418/img003554.jpg,latentdiff-t2i/images/img001468.jpg,coco/coco2017/train2017/img112596.jpg
coco/coco2017/train2017/img066530.jpg,coco/coco2017/train2017/img108209.jpg,latentdiff/393/img003277.jpg
coco/coco2017/train2017/img122848.jpg,coco/coco2017/train2017/img048316.jpg,latentdiff/201/img001150.jpg
coco/coco2017/train2017/img053721.jpg,coco/coco2017/train2017/img077921.jpg,latentdiff/176/img000864.jpg
latentdiff-t2i/images/img000856.jpg,latentdiff-t2i/images/img002731.jpg,coco/coco2017/test2017/img017765.jpg
latentdiff/66/img006235.jpg,latentdiff/196/img001087.jpg,coco/coco2017/test2017/img039388.jpg
latentdiff-t2i/images/img004830.jpg,latentdiff-t2i/images/img007376.jpg,coco/coco2017/test2017/img017802.jpg
coco/coco2017/train2017/img097119.jpg,coco/coco2017/train2017/img135537.jpg,latentdiff/368/img002997.jpg
latentdiff/331/img002592.jpg,latentdiff/907/img008981.jpg,coco/coco2017/train2017/img117987.jpg
coco/coco2017/train2017/img094492.jpg,coco/coco2017/train2017/img073473.jpg,latentdiff-t2i/images/img003799.jpg
coco/coco2017/train2017/img054224.jpg,coco/coco2017/train2017/img046954.jpg,latentdiff-t2i/images/img008056.jpg
latentdiff/947/img009424.jpg,latentdiff-t2i/images/img003332.jpg,coco/coco2017/train2017/img045537.jpg
coco/coco2017/train2017/img045388.jpg,coco/coco2017/train2017/img046292.jpg,latentdiff/43/img003688.jpg
latentdiff/726/img006979.jpg,latentdiff-t2i/images/img000951.jpg,coco/coco2017/train2017/img146256.jpg
