Anchor,Positive,Negative
coco/coco2017/train2017/img070852.jpg,coco/coco2017/train2017/img084039.jpg,big/biggan-data/459/img004005.jpg
coco/coco2017/test2017/img040533.jpg,coco/coco2017/train2017/img115481.jpg,big/biggan-data/943/img009384.jpg
coco/coco2017/test2017/img020633.jpg,coco/coco2017/train2017/img096961.jpg,big/biggan-data/301/img002262.jpg
big/biggan-data/42/img003575.jpg,big/biggan-data/443/img003836.jpg,coco/coco2017/train2017/img087178.jpg
coco/coco2017/train2017/img084947.jpg,coco/coco2017/train2017/img137404.jpg,big/biggan-data/961/img009580.jpg
big/biggan-data/703/img006723.jpg,big/biggan-data/685/img006512.jpg,coco/coco2017/test2017/img018404.jpg
coco/coco2017/test2017/img020536.jpg,coco/coco2017/test2017/img006162.jpg,big/biggan-data/599/img005559.jpg
big/biggan-data/159/img000674.jpg,big/biggan-data/832/img008156.jpg,coco/coco2017/test2017/img017401.jpg
big/biggan-data/946/img009412.jpg,big/biggan-data/982/img009812.jpg,coco/coco2017/train2017/img051321.jpg
big/biggan-data/854/img008397.jpg,big/biggan-data/900/img008915.jpg,coco/coco2017/train2017/img076331.jpg
big/biggan-data/15/img000576.jpg,big/biggan-data/248/img001660.jpg,coco/coco2017/test2017/img008608.jpg
coco/coco2017/test2017/img006037.jpg,coco/coco2017/train2017/img081786.jpg,big/biggan-data/179/img000899.jpg
coco/coco2017/train2017/img067236.jpg,coco/coco2017/train2017/img138586.jpg,big/biggan-data/704/img006734.jpg
big/biggan-data/684/img006502.jpg,big/biggan-data/697/img006647.jpg,coco/coco2017/train2017/img104041.jpg
coco/coco2017/train2017/img137430.jpg,coco/coco2017/train2017/img078141.jpg,big/biggan-data/459/img004004.jpg
coco/coco2017/test2017/img036832.jpg,coco/coco2017/test2017/img015793.jpg,big/biggan-data/439/img003788.jpg
coco/coco2017/train2017/img118493.jpg,coco/coco2017/train2017/img093267.jpg,big/biggan-data/975/img009733.jpg
coco/coco2017/train2017/img086022.jpg,coco/coco2017/train2017/img042199.jpg,big/biggan-data/420/img003581.jpg
big/biggan-data/787/img007649.jpg,big/biggan-data/576/img005300.jpg,coco/coco2017/val2017/img161107.jpg
big/biggan-data/531/img004810.jpg,big/biggan-data/998/img009980.jpg,coco/coco2017/train2017/img095237.jpg
coco/coco2017/train2017/img074674.jpg,coco/coco2017/test2017/img028966.jpg,big/biggan-data/427/img003658.jpg
big/biggan-data/450/img003913.jpg,big/biggan-data/668/img006325.jpg,coco/coco2017/train2017/img075760.jpg
big/biggan-data/715/img006851.jpg,big/biggan-data/723/img006947.jpg,coco/coco2017/train2017/img145604.jpg
big/biggan-data/212/img001279.jpg,big/biggan-data/375/img003079.jpg,coco/coco2017/test2017/img029182.jpg
big/biggan-data/506/img004532.jpg,big/biggan-data/599/img005553.jpg,coco/coco2017/train2017/img134795.jpg
big/biggan-data/406/img003427.jpg,big/biggan-data/791/img007697.jpg,coco/coco2017/test2017/img035836.jpg
big/biggan-data/901/img008926.jpg,big/biggan-data/764/img007394.jpg,coco/coco2017/train2017/img060094.jpg
coco/coco2017/train2017/img046644.jpg,coco/coco2017/train2017/img046636.jpg,big/biggan-data/494/img004395.jpg
