Anchor,Positive,Negative
coco/coco2017/train2017/img139230.jpg,coco/coco2017/train2017/img131728.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/46/img020086.jpg
coco/coco2017/train2017/img044788.jpg,coco/coco2017/test2017/img025646.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img017465.jpg
coco/coco2017/train2017/img078611.jpg,coco/coco2017/train2017/img146017.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img037308.jpg
tt-cc/cin_k600_p1.0_a0.05_fid5.20/130/img001801.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img032189.jpg,coco/coco2017/test2017/img023977.jpg
tt-cc/cin_k600_p1.0_a0.05_fid5.20/692/img032971.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img003908.jpg,coco/coco2017/train2017/img042700.jpg
coco/coco2017/train2017/img093577.jpg,coco/coco2017/train2017/img110035.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/877/img043227.jpg
tt-coco/samples_nopix/img004253.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/158/img003300.jpg,coco/coco2017/train2017/img063574.jpg
coco/coco2017/train2017/img109584.jpg,coco/coco2017/train2017/img083055.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img046375.jpg
coco/coco2017/test2017/img039508.jpg,coco/coco2017/train2017/img082545.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img034570.jpg
tt-coco/samples_nopix/img000874.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img017671.jpg,coco/coco2017/test2017/img014681.jpg
coco/coco2017/train2017/img158403.jpg,coco/coco2017/train2017/img079737.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/778/img037703.jpg
tt-cc/cin_k600_p1.0_a0.05_fid5.20/577/img026595.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/815/img039842.jpg,coco/coco2017/train2017/img140027.jpg
tt-ffhq/ffhq_k300_p1.0_fid9.6/img018931.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/614/img028671.jpg,coco/coco2017/train2017/img057466.jpg
coco/coco2017/train2017/img083073.jpg,coco/coco2017/train2017/img149277.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/732/img035243.jpg
tt-cc/cin_k600_p1.0_a0.05_fid5.20/446/img019318.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img011463.jpg,coco/coco2017/train2017/img067935.jpg
tt-ffhq/ffhq_k300_p1.0_fid9.6/img030822.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/21/img006245.jpg,coco/coco2017/train2017/img158294.jpg
coco/coco2017/train2017/img143833.jpg,coco/coco2017/test2017/img027665.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img041813.jpg
coco/coco2017/test2017/img005690.jpg,coco/coco2017/train2017/img136337.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/846/img041531.jpg
coco/coco2017/train2017/img115534.jpg,coco/coco2017/train2017/img057997.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img003653.jpg
coco/coco2017/train2017/img119948.jpg,coco/coco2017/train2017/img082160.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img034939.jpg
coco/coco2017/train2017/img047112.jpg,coco/coco2017/test2017/img038170.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img025293.jpg
coco/coco2017/train2017/img089963.jpg,coco/coco2017/train2017/img070559.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/765/img037036.jpg
coco/coco2017/test2017/img015102.jpg,coco/coco2017/train2017/img146274.jpg,tt-coco/samples_nopix/img000963.jpg
coco/coco2017/train2017/img119668.jpg,coco/coco2017/train2017/img067316.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/509/img022800.jpg
coco/coco2017/test2017/img038445.jpg,coco/coco2017/train2017/img053829.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/523/img023608.jpg
