Anchor,Positive,Negative
tt-cc/cin_k600_p1.0_a0.05_fid5.20/343/img013619.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/228/img007232.jpg,coco/coco2017/test2017/img004132.jpg
coco/coco2017/train2017/img131878.jpg,coco/coco2017/train2017/img074749.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/31/img011790.jpg
tt-cc/cin_k600_p1.0_a0.05_fid5.20/289/img010593.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/594/img027527.jpg,coco/coco2017/train2017/img138611.jpg
coco/coco2017/train2017/img103217.jpg,coco/coco2017/test2017/img025835.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img047609.jpg
tt-cc/cin_k600_p1.0_a0.05_fid5.20/267/img009362.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/694/img033082.jpg,coco/coco2017/train2017/img140668.jpg
coco/coco2017/train2017/img047151.jpg,coco/coco2017/train2017/img140647.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img049372.jpg
tt-ffhq/ffhq_k300_p1.0_fid9.6/img038087.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/692/img032951.jpg,coco/coco2017/train2017/img099531.jpg
coco/coco2017/train2017/img045373.jpg,coco/coco2017/train2017/img054857.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img005829.jpg
coco/coco2017/train2017/img076808.jpg,coco/coco2017/val2017/img159962.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img025955.jpg
coco/coco2017/train2017/img116573.jpg,coco/coco2017/train2017/img121181.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/663/img031357.jpg
coco/coco2017/train2017/img046150.jpg,coco/coco2017/train2017/img113705.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img044974.jpg
tt-cc/cin_k600_p1.0_a0.05_fid5.20/429/img018376.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/702/img033599.jpg,coco/coco2017/train2017/img045301.jpg
coco/coco2017/test2017/img038279.jpg,coco/coco2017/test2017/img035504.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img046352.jpg
tt-ffhq/ffhq_k300_p1.0_fid9.6/img022731.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/264/img009238.jpg,coco/coco2017/train2017/img095375.jpg
tt-cc/cin_k600_p1.0_a0.05_fid5.20/932/img046332.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img020124.jpg,coco/coco2017/val2017/img159311.jpg
coco/coco2017/train2017/img090502.jpg,coco/coco2017/train2017/img110808.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/499/img022222.jpg
