real,fake
coco/coco2017/train2017/img045591.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img003490.jpg
coco/coco2017/train2017/img084647.jpg,tt-coco/samples_nopix/img002132.jpg
coco/coco2017/train2017/img115765.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img021101.jpg
coco/coco2017/train2017/img131710.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/558/img025543.jpg
coco/coco2017/train2017/img059718.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/979/img048883.jpg
coco/coco2017/test2017/img023457.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/377/img015498.jpg
coco/coco2017/train2017/img138210.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img021049.jpg
coco/coco2017/test2017/img034266.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/607/img028297.jpg
coco/coco2017/test2017/img019285.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img021367.jpg
coco/coco2017/train2017/img067797.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img046094.jpg
coco/coco2017/train2017/img106304.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img042588.jpg
coco/coco2017/train2017/img103968.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img004974.jpg
coco/coco2017/train2017/img141985.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/662/img031336.jpg
coco/coco2017/train2017/img080618.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img011089.jpg
coco/coco2017/train2017/img116033.jpg,tt-coco/samples_nopix/img003625.jpg
coco/coco2017/train2017/img157971.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/316/img012134.jpg
coco/coco2017/train2017/img064239.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img018864.jpg
coco/coco2017/train2017/img087722.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/826/img040400.jpg
coco/coco2017/train2017/img085960.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img023240.jpg
coco/coco2017/train2017/img135678.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/649/img030560.jpg
coco/coco2017/train2017/img042025.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img013735.jpg
coco/coco2017/train2017/img072018.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/80/img038962.jpg
coco/coco2017/train2017/img052920.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img017893.jpg
coco/coco2017/train2017/img064384.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img031646.jpg
coco/coco2017/train2017/img110016.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img044673.jpg
coco/coco2017/test2017/img023045.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img015115.jpg
coco/coco2017/val2017/img161765.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img022865.jpg
coco/coco2017/test2017/img003897.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img026625.jpg
coco/coco2017/train2017/img127068.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img018110.jpg
coco/coco2017/train2017/img052200.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img011654.jpg
coco/coco2017/train2017/img101415.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img047363.jpg
coco/coco2017/test2017/img018842.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img048868.jpg
coco/coco2017/train2017/img069376.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img019311.jpg
coco/coco2017/train2017/img070544.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img047505.jpg
coco/coco2017/train2017/img046479.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img019401.jpg
