real,fake
coco/coco2017/train2017/img073855.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/546/img024899.jpg
coco/coco2017/train2017/img143824.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img041963.jpg
coco/coco2017/train2017/img043379.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/606/img028241.jpg
coco/coco2017/train2017/img114131.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/554/img025321.jpg
coco/coco2017/train2017/img082749.jpg,tt-coco/samples_nopix/img001509.jpg
coco/coco2017/train2017/img105930.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img013277.jpg
coco/coco2017/train2017/img155763.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img031807.jpg
coco/coco2017/train2017/img109511.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/950/img047343.jpg
coco/coco2017/train2017/img138209.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img043072.jpg
coco/coco2017/train2017/img068085.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img039628.jpg
coco/coco2017/test2017/img000526.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img022964.jpg
coco/coco2017/test2017/img031816.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/785/img038133.jpg
coco/coco2017/test2017/img034535.jpg,tt-coco/samples_nopix/img004668.jpg
coco/coco2017/train2017/img143896.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/845/img041471.jpg
coco/coco2017/test2017/img008340.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img035201.jpg
coco/coco2017/train2017/img109146.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/928/img046058.jpg
coco/coco2017/train2017/img076112.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img004809.jpg
coco/coco2017/test2017/img017170.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img004569.jpg
coco/coco2017/train2017/img108147.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img021827.jpg
coco/coco2017/test2017/img037760.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/779/img037768.jpg
coco/coco2017/train2017/img117001.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/103/img000301.jpg
coco/coco2017/train2017/img119757.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img011777.jpg
coco/coco2017/test2017/img001179.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/426/img018236.jpg
coco/coco2017/train2017/img090667.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/182/img004687.jpg
coco/coco2017/train2017/img105561.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img016470.jpg
coco/coco2017/train2017/img097115.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/295/img010942.jpg
coco/coco2017/train2017/img113735.jpg,tt-ffhq/ffhq_k300_p1.0_fid9.6/img041308.jpg
coco/coco2017/train2017/img048980.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/46/img020094.jpg
coco/coco2017/val2017/img163919.jpg,tt-coco/samples_nopix/img001093.jpg
coco/coco2017/train2017/img145078.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/693/img033021.jpg
coco/coco2017/train2017/img095751.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/892/img044069.jpg
coco/coco2017/train2017/img085391.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/541/img024601.jpg
coco/coco2017/train2017/img147857.jpg,tt-cc/cin_k600_p1.0_a0.05_fid5.20/59/img027269.jpg
